序号,大头照,姓名,性别,品种,出生日期（推算）,绝育情况,疫苗信息,状态,性格,亲属关系,平时游玩区域,生活照1,生活照2,生活照3,,,,
, ,哈娜,母,,,已绝育,,正常,"玉田路花乌市场被两位同学买回。2024.8月底干式猫传腹。治愈后， 长期病号，神经受损。
",,,,,,,,,
, ,布莱恩,母,,,未绝育,,已领养,FeLV阳性,,,,,,,,,
, ,小狸哥,母,,,未绝育,,已领养,,,,,,,,,,
, ,卷福,公,,,已绝育,,已领养,,,,,,,,,,
, ,元宝,公,,,未绝育,,正常,,,,,,,,,,
,,朵朵,母,,,,,正常,,,,,,,,,,
, ,金条,公,,,未绝育,,正常,,,,,,,,,,
, ,图图,公,,,, ,失踪,,,,,,,,,,
, ,乔治,公,,,, ,失踪,,,,,,,,,,
, ,塞塞,公,,,已绝育,,回喵星,,,,,,,,,,
, ,闪闪,母,,,未绝育,,正常,,,,,,,,,,
, ,君君,公,,,已绝育,,失踪,,,, , ,,,,,
, ,小橙子,母,,,已绝育,,正常,,,,,,,,,,
, ,奶盖,母,,,已绝育,,正常,,,, ,,,,,,
, ,Mirror,公,,,已绝育,,失踪,,,,,,,,,,
, ,肉桂,公,,,已绝育,,正常,,,, ,,,,,,
, ,话痨,公,,,已绝育,,正常,,,, , ,,,,,
, ,coco,母,,,已绝育, ,正常,,,, ,,,,,,
, ,金金,母,彩狸,,已绝育,,正常,,,,,,,,,,
, ,糊糊,母,,,已绝育, ,失踪,,,,,,,,,,
, ,,,,,未绝育,,正常,,,,,,,,,,
,,芒果,,,,,,已领养,,,,,,,,,,
, ,申小豹,公,,,未绝育,,,2025.6.27在操场捡到,,,,,,,,,
, ,明治,公,奶牛,2025/1/1,未绝育,,, 2025.04.13被丢弃在操场，疑似留学生放置，初检850g,,,,,,,,,
,,小七,母,,,未绝育,,,2025.04.13被丢弃在咖啡店,,,,,,,,,
, ,麦当劳,公,,,已绝育,,,,,,,,,,,,
,,卡门,公,,,已绝育,,,,,,,,,,,,
,,V,母,,,已绝育,,,,,,,,,,,,
,,小狸,公,,,已绝育,,,,,,,,,,,,
, ,枇杷,母,,,,,失踪,在枇杷结果的季节找到的，故取名小枇杷，黄色虎斑小美女一枚，摸摸是可以的，但是有点内向，应该不会离家出走的那种,,, , , ,,,,
,,二胡,公,,,,,,,,,,,,,,,
,,小虎,母,,,,,,,,,,,,,,,
, ,爬爬,母,,,已绝育,,,,,,,,,,,,
, ,胖胖,公,,,已绝育,,已领养,,,,,,,,,,
, ,小板,公,,,,,,,,,,,,,,,
,,小饼,,,,,,,,,,,,,,,,
, ,蓝宝,母,,,已绝育,,正常,2025.6.28在垃圾场捡到，另有四只小奶猫未能救活，后腿关节、脊柱、部分神经受损，有漏尿问题,,, ,,,,,,
, ,小菠萝,公,,,已绝育,,已领养,阴阳脸孩子,,,,,,,,,
, ,小土豆,公,,,已绝育,,已领养,阴阳脸孩子,,,,,,,,,
, ,小山竹,母,,,未绝育,,,阴阳脸孩子,,,,,,,,,
, ,麻花,母,,,已绝育,,,,,,,,,,,,
,,虎,母,,,已绝育,,,正宗虎纹，体型不大，温柔可爱，眼睛很圆，胆小但是亲人。,,,,,,,,,
, ,6000点,公,,,已绝育,,,,,,,,,,,,
, ,路路,母,,,未绝育,,,,,,,,,,,,
, ,球球,母,,,未绝育,,已领养,,,,,,,,,,
, ,卷卷,公,,,已绝育,,已领养,,,,,,,,,,
, ,焦糖,母,,,已绝育,,,,,,,,,,,,
,,小翅膀,公,,,未绝育,,已领养,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,, ,,,,,,
, ,,,,,,,,,,, ,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
